OBJECTID,County name,State name,State abbreviation,FIPS,Precip Above 99th pctl,Precip 1-day max,Precip 5-year max,Temperature average,Temp max 1-day,Temp Days 100 F,Temp Days 105 F,Temp Days 95 F,Temp mean summer,Temp Days Min 70 F,Temp Days Min 0 F,Temp Days Min 32 F,Temp min summer,Precip Annual GWL1,Precip Days 99 pctl GWL1,Shape__Area,Shape__Length
1,Autauga County,Alabama,AL,01001,8.86636843179402,1.20463157053057,0.560894737118169,1.73231579128065,1.54347367976841,4.04497373104095,0.253342104977683,14.3595262577659,1.60442104778792,22.6787368372867,-0.0399473686947634,-8.21592106317219,1.77494736721641,2.23168360559564,11.8701716491154,2208625695.5,249567.996268489
2,Baldwin County,Alabama,AL,01003,10.4475588377784,3.45414707298372,1.10421568871129,1.63375490319495,1.52671568533953,1.81717646268068,0.062794117665594,14.1279804379332,1.50886274669685,19.8078626370898,-0.0086274510397868,-5.26147057963353,1.66758823628519,3.20030661190257,11.6343762637217,5743992386.45898,1089821.77184389
3,Barbour County,Alabama,AL,01005,10.9304736789904,0.800701754004286,0.499964905412573,1.6496666565276,1.62978947580906,4.21222805140311,0.418982457173498,13.9834210245233,1.57140350760075,23.8136140254506,-0.0176140353606458,-6.7587718963623,1.62524561505569,2.7962487915106,16.9536076262593,3257820458.71094,319302.785565062
4,Bibb County,Alabama,AL,01007,10.9567954323508,2.63190906968984,1.33031817635691,1.78970454768701,1.62352272326296,4.0138181773099,0.287090909074653,13.2830227071589,1.68420455130664,22.3522499257868,-0.0832727268676866,-9.17613638531078,1.85645454038273,1.61928351088004,14.5117209036272,2312191184.34766,227908.465700332
5,Blount County,Alabama,AL,01009,18.3161136237058,6.68988635323265,6.57068180496042,1.75704545866359,1.53020455078645,2.49452272328463,0.172659090974114,9.98177272623236,1.63902273503217,18.28431818702,-0.132204545153813,-9.86111365665089,1.86875000325116,3.06951116973704,23.0577120780945,2456981053.80859,291354.812144227
6,Bullock County,Alabama,AL,01011,9.30356093150814,0.244634147358649,-1.18173171226049,1.6750975498339,1.56280488502688,3.58931706009842,0.315048781473462,13.4292194319934,1.58217073649895,24.1890489066519,-0.0279512195507201,-7.3528292469862,1.67556096867817,2.28195791128205,14.0565998019004,2262904442.65625,248296.343458156
7,Butler County,Alabama,AL,01013,5.99572000980377,0.51125999417156,-1.28975999310613,1.7098800110817,1.45772000312805,3.55092000007629,0.209180000126362,14.2893599510193,1.54091999292374,24.85666015625,-0.0282800003141165,-7.50611999511719,1.66144000291824,2.55189778089523,8.87613547643026,2794862326.57422,220916.246873247
8,Calhoun County,Alabama,AL,01015,16.4825121018945,5.44385362834465,5.95314633555529,1.77739024453047,1.63853658990162,2.20934146788062,0.138243901838617,10.1017316492592,1.66507316798699,18.5019755944973,-0.0967560984739443,-9.86531706554134,1.86448780792515,2.30502326604797,16.7729182499711,2300831381.36328,263700.738065548
9,Chambers County,Alabama,AL,01017,12.306891802195,1.63091892165107,-1.60621622599963,1.70351351274026,1.59116214352685,2.68043242274104,0.18591891954074,10.9468648498123,1.57075676080343,18.0841352101919,-0.0661891896176982,-9.25956754426698,1.66567568199055,3.20371097487372,17.3262991175932,2222809668.83594,208469.847647771
10,Cherokee County,Alabama,AL,01019,15.5891499519348,4.60489996671676,4.3746749997139,1.817974999547,1.67197499871254,2.28352500498295,0.165499999374151,10.1482749819756,1.72840000391006,19.0601751565933,-0.118050000630319,-10.0204749584198,1.93945000767708,2.96081264615059,17.6667349988764,2275914436.54688,236879.697852668
